,Year,Month,Province_group,Distance,Hospital_admission,Mode,Year-Month
629,2019,4.0,East,   22.09,0.0,Visit,201904.0
625,2019,4.0,North,0,0.0,Visit,201904.0
1213,2019,4,South,   14.96,0.0,Commute,201904.0
833,2019,5.0,North,0,0.0,Edu,201905.0
837,2019,5.0,East,   18.72,0.0,Edu,201905.0
1229,2019,5,South,   19.52,0.0,Commute,201905.0
841,2019,5.0,West,   11.79,0.0,Edu,201905.0
845,2019,5.0,South,   11.82,0.0,Edu,201905.0
73,2019,5.0,West,   13.52,0.0,Total,201905.0
69,2019,5.0,East,   14.47,0.0,Total,201905.0
1037,2019,5.0,South,    6.82,0.0,Shop,201905.0
77,2019,5.0,South,   12.61,0.0,Total,201905.0
461,2019,5.0,South,    9.23,0.0,Fun,201905.0
649,2019,5.0,West,   21.02,0.0,Visit,201905.0
453,2019,5.0,East,   14.88,0.0,Fun,201905.0
1029,2019,5.0,East,    6.03,0.0,Shop,201905.0
257,2019,5.0,North,0,0.0,Walk,201905.0
1025,2019,5.0,North,    8.46,0.0,Shop,201905.0
645,2019,5.0,East,   25.22,0.0,Visit,201905.0
1217,2019,5,North,   23.39,0.0,Commute,201905.0
641,2019,5.0,North,   23.81,0.0,Visit,201905.0
261,2019,5.0,East,    8.73,0.0,Walk,201905.0
1221,2019,5,East,   20.22,0.0,Commute,201905.0
457,2019,5.0,West,   14.11,0.0,Fun,201905.0
265,2019,5.0,West,   11.59,0.0,Walk,201905.0
1225,2019,5,West,   18.62,0.0,Commute,201905.0
65,2019,5.0,North,   16.66,0.0,Total,201905.0
269,2019,5.0,South,    8.23,0.0,Walk,201905.0
449,2019,5.0,North,   12.90,0.0,Fun,201905.0
653,2019,5.0,South,   19.34,0.0,Visit,201905.0
1033,2019,5.0,West,    5.37,0.0,Shop,201905.0
1237,2019,6,East,   22.44,0.0,Commute,201906.0
861,2019,6.0,South,0,0.0,Edu,201906.0
285,2019,6.0,South,   11.65,0.0,Walk,201906.0
277,2019,6.0,East,   12.55,0.0,Walk,201906.0
857,2019,6.0,West,    9.42,0.0,Edu,201906.0
853,2019,6.0,East,   15.64,0.0,Edu,201906.0
1041,2019,6.0,North,    5.95,0.0,Shop,201906.0
